,URL,H1_tag
0,https://en.wikipedia.org/wiki/Main_Page,From today's featured article
1,https://en.wikipedia.org/wiki/Special:Search,
2,https://en.wikipedia.org/wiki/Help:Introduction,
3,https://en.wikipedia.org/wiki/Special:MyContributions,
4,https://en.wikipedia.org/wiki/Special:MyTalk,
5,https://en.wikipedia.org/wiki/Main_Page,From today's featured article
6,https://en.wikipedia.org/wiki/Wikipedia:Contents,Contents
7,https://en.wikipedia.org/wiki/Portal:Current_events,Topics in the news
8,https://en.wikipedia.org/wiki/Special:Random,Contents
9,https://en.wikipedia.org/wiki/Wikipedia:About,
10,https://en.wikipedia.org/wiki/Help:Contents,Read or find an article
11,https://en.wikipedia.org/wiki/Help:Introduction,
12,https://en.wikipedia.org/wiki/Wikipedia:Community_portal,"
Welcome to the Community portal!
"
13,https://en.wikipedia.org/wiki/Special:RecentChanges,
14,https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard,Contents
15,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Data_science,
16,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Data_science,
17,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard,Contents
18,https://en.wikipedia.org/wiki/Special:SpecialPages,Contents
19,https://en.wikipedia.org/wiki/Data_science,Contents
20,https://en.wikipedia.org/wiki/Talk:Data_science,Contents
21,https://en.wikipedia.org/wiki/Data_science,Contents
22,https://en.wikipedia.org/wiki/Data_science,Contents
23,https://en.wikipedia.org/wiki/Information_science,Contents
24,https://en.wikipedia.org/wiki/File:PIA23792-1600x1200(1).jpg,Summary
25,https://en.wikipedia.org/wiki/File:PIA23792-1600x1200(1).jpg,Summary
26,https://en.wikipedia.org/wiki/Comet_NEOWISE,Contents
27,https://en.wikipedia.org/wiki/Astronomical_survey,Contents
28,https://en.wikipedia.org/wiki/Space_telescope,Contents
29,https://en.wikipedia.org/wiki/Wide-field_Infrared_Survey_Explorer,Contents
30,https://en.wikipedia.org/wiki/Interdisciplinary,Contents
31,https://en.wikipedia.org/wiki/Statistics,Contents
32,https://en.wikipedia.org/wiki/Scientific_computing,Contents
33,https://en.wikipedia.org/wiki/Scientific_method,Contents
34,https://en.wikipedia.org/wiki/Algorithm,Contents
35,https://en.wikipedia.org/wiki/Knowledge,Contents
36,https://en.wikipedia.org/wiki/Unstructured_data,Contents
37,https://en.wikipedia.org/wiki/Statistics,Contents
38,https://en.wikipedia.org/wiki/Data_analysis,Contents
39,https://en.wikipedia.org/wiki/Informatics,Contents
40,https://en.wikipedia.org/wiki/Scientific_method,Contents
41,https://en.wikipedia.org/wiki/Phenomena,Contents
42,https://en.wikipedia.org/wiki/Data,Contents
43,https://en.wikipedia.org/wiki/Mathematics,Contents
44,https://en.wikipedia.org/wiki/Computer_science,Contents
45,https://en.wikipedia.org/wiki/Information_science,Contents
46,https://en.wikipedia.org/wiki/Domain_knowledge,Knowledge capture[edit]
47,https://en.wikipedia.org/wiki/Computer_science,Contents
48,https://en.wikipedia.org/wiki/Turing_Award,Contents
49,https://en.wikipedia.org/wiki/Jim_Gray_(computer_scientist),Contents
50,https://en.wikipedia.org/wiki/Empirical_research,Contents
51,https://en.wikipedia.org/wiki/Basic_research,Contents
52,https://en.wikipedia.org/wiki/Computational_science,Contents
53,https://en.wikipedia.org/wiki/Information_technology,Contents
54,https://en.wikipedia.org/wiki/Information_explosion,Contents
55,https://en.wikipedia.org/wiki/Interdisciplinarity,Contents
56,https://en.wikipedia.org/wiki/Academic_discipline,Contents
57,https://en.wikipedia.org/wiki/Big_data,Contents
58,https://en.wikipedia.org/wiki/Data_set,Contents
59,https://en.wikipedia.org/wiki/Problem_solving,Contents
60,https://en.wikipedia.org/wiki/Analysis,Contents
61,https://en.wikipedia.org/wiki/Data_visualization,Contents
62,https://en.wikipedia.org/wiki/Information_visualization,Contents
63,https://en.wikipedia.org/wiki/Data_sonification,References[edit]
64,https://en.wikipedia.org/wiki/Data_integration,Contents
65,https://en.wikipedia.org/wiki/Graphic_design,Contents
66,https://en.wikipedia.org/wiki/Complex_systems,Contents
67,https://en.wikipedia.org/wiki/Communication,Contents
68,https://en.wikipedia.org/wiki/Business,Contents
69,https://en.wikipedia.org/wiki/Nathan_Yau,Contents
70,https://en.wikipedia.org/wiki/Ben_Fry,Contents
71,https://en.wikipedia.org/wiki/Human%E2%80%93computer_interaction,Contents
72,https://en.wikipedia.org/wiki/Exploration,Contents
73,https://en.wikipedia.org/wiki/American_Statistical_Association,Contents
74,https://en.wikipedia.org/wiki/Database,Contents
75,https://en.wikipedia.org/wiki/Machine_learning,Contents
76,https://en.wikipedia.org/wiki/Distributed_computing,Contents
77,https://en.wikipedia.org/wiki/Nate_Silver,Contents
78,https://en.wikipedia.org/wiki/Vasant_Dhar,Contents
79,https://en.wikipedia.org/wiki/Andrew_Gelman,Contents
80,https://en.wikipedia.org/wiki/Columbia_University,Contents
81,https://en.wikipedia.org/wiki/David_Donoho,Contents
82,https://en.wikipedia.org/wiki/John_Tukey,Contents
83,https://en.wikipedia.org/wiki/C._F._Jeff_Wu,References[edit]
84,https://en.wikipedia.org/wiki/Montpellier_2_University,Contents
85,https://en.wikipedia.org/wiki/Peter_Naur,Contents
86,https://en.wikipedia.org/wiki/C._F._Jeff_Wu,References[edit]
87,https://en.wikipedia.org/wiki/Data_mining,Contents
88,https://en.wikipedia.org/wiki/Thomas_H._Davenport,Contents
89,https://en.wikipedia.org/wiki/DJ_Patil,Contents
90,https://en.wikipedia.org/wiki/New_York_Times,Contents
91,https://en.wikipedia.org/wiki/Boston_Globe,Contents
92,https://en.wikipedia.org/wiki/William_S._Cleveland,Contents
93,https://en.wikipedia.org/wiki/Committee_on_Data_for_Science_and_Technology,Contents
94,https://en.wikipedia.org/wiki/American_Statistical_Association,Contents
95,https://en.wikipedia.org/wiki/DJ_Patil,Contents
96,https://en.wikipedia.org/wiki/Jeff_Hammerbacher,Contents
97,https://en.wikipedia.org/wiki/National_Science_Board,Contents
98,https://en.wikipedia.org/wiki/Buzzword,Contents
99,https://en.wikipedia.org/wiki/Big_data,Contents
100,https://en.wikipedia.org/wiki/ODSC,Contents
101,https://en.wikipedia.org/wiki/Scientific_Data_(journal),References[edit]
102,https://en.wikipedia.org/wiki/Women_in_Data,Contents
103,https://en.wikipedia.org/wiki/Journal_of_Computational_and_Graphical_Statistics,Contents
104,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
105,https://en.wikipedia.org/wiki/S2CID_(identifier),Contents
106,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
107,https://en.wikipedia.org/wiki/S2CID_(identifier),Contents
108,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
109,https://en.wikipedia.org/wiki/ISBN_(identifier),Contents
110,https://en.wikipedia.org/wiki/Special:BookSources/9784431702085,Contents
111,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
112,https://en.wikipedia.org/wiki/ISSN_(identifier),Contents
113,https://en.wikipedia.org/wiki/S2CID_(identifier),Contents
114,https://en.wikipedia.org/wiki/ISBN_(identifier),Contents
115,https://en.wikipedia.org/wiki/Special:BookSources/978-0-9825442-0-4,Contents
116,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
117,https://en.wikipedia.org/wiki/ISSN_(identifier),Contents
118,https://en.wikipedia.org/wiki/PMID_(identifier),Contents
119,https://en.wikipedia.org/wiki/S2CID_(identifier),Contents
120,https://en.wikipedia.org/wiki/Harvard_Business_Review,Contents
121,https://en.wikipedia.org/wiki/PMID_(identifier),Contents
122,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
123,https://en.wikipedia.org/wiki/American_Statistical_Association,Contents
124,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
125,https://en.wikipedia.org/wiki/S2CID_(identifier),Contents
126,https://en.wikipedia.org/wiki/ISBN_(identifier),Contents
127,https://en.wikipedia.org/wiki/Special:BookSources/0-12-241770-4,Contents
128,https://en.wikipedia.org/wiki/OCLC_(identifier),Contents
129,https://en.wikipedia.org/wiki/Doi_(identifier),Contents
130,https://en.wikipedia.org/wiki/Harvard_Business_Review,Contents
131,https://en.wikipedia.org/wiki/New_York_Times,Contents
132,https://en.wikipedia.org/wiki/New_York_City,Contents
133,https://en.wikipedia.org/wiki/Boston_Globe,Contents
134,https://en.wikipedia.org/wiki/Boston,Contents
135,https://en.wikipedia.org/wiki/Harvard_Business_Review,Contents
136,https://en.wikipedia.org/wiki/American_Statistical_Association,Contents
137,https://en.wikipedia.org/wiki/ISSN_(identifier),Contents
138,https://en.wikipedia.org/wiki/Forbes,Contents
139,https://en.wikipedia.org/wiki/Template:Data,
140,https://en.wikipedia.org/wiki/Template_talk:Data,
141,https://en.wikipedia.org/wiki/Data_(computing),Contents
142,https://en.wikipedia.org/wiki/Data_augmentation,Contents
143,https://en.wikipedia.org/wiki/Data_analysis,Contents
144,https://en.wikipedia.org/wiki/Data_archaeology,Contents
145,https://en.wikipedia.org/wiki/Big_data,Contents
146,https://en.wikipedia.org/wiki/Data_cleansing,Contents
147,https://en.wikipedia.org/wiki/Data_collection,Contents
148,https://en.wikipedia.org/wiki/Data_compression,Contents
149,https://en.wikipedia.org/wiki/Data_corruption,Contents
150,https://en.wikipedia.org/wiki/Data_curation,Contents
151,https://en.wikipedia.org/wiki/Data_degradation,Contents
152,https://en.wikipedia.org/wiki/Data_editing,Contents
153,"https://en.wikipedia.org/wiki/Extract,_transform,_load",Contents
154,"https://en.wikipedia.org/wiki/Extract,_load,_transform",Contents
155,https://en.wikipedia.org/wiki/Data_extraction,Contents
156,https://en.wikipedia.org/wiki/Data_transformation,Contents
157,https://en.wikipedia.org/wiki/Data_loading,Contents
158,https://en.wikipedia.org/wiki/Data_farming,Contents
159,https://en.wikipedia.org/wiki/Data_format_management,Contents
160,https://en.wikipedia.org/wiki/Data_fusion,Contents
161,https://en.wikipedia.org/wiki/Data_integration,Contents
162,https://en.wikipedia.org/wiki/Data_integrity,Contents
163,https://en.wikipedia.org/wiki/Data_library,Contents
164,https://en.wikipedia.org/wiki/Data_lineage,Contents
165,https://en.wikipedia.org/wiki/Data_loss,Contents
166,https://en.wikipedia.org/wiki/Data_management,Contents
167,https://en.wikipedia.org/wiki/Data_migration,Contents
168,https://en.wikipedia.org/wiki/Data_mining,Contents
169,https://en.wikipedia.org/wiki/Data_philanthropy,Contents
170,https://en.wikipedia.org/wiki/Data_pre-processing,Contents
171,https://en.wikipedia.org/wiki/Data_preservation,Contents
172,https://en.wikipedia.org/wiki/Information_privacy,Contents
173,https://en.wikipedia.org/wiki/Data_publishing,Contents
174,https://en.wikipedia.org/wiki/Data_recovery,Contents
175,https://en.wikipedia.org/wiki/Data_reduction,Contents
176,https://en.wikipedia.org/wiki/Data_retention,Contents
177,https://en.wikipedia.org/wiki/Data_quality,Contents
178,https://en.wikipedia.org/wiki/Data_scraping,Contents
179,https://en.wikipedia.org/wiki/Data_scrubbing,Contents
180,https://en.wikipedia.org/wiki/Data_security,Contents
181,https://en.wikipedia.org/wiki/Data_steward,Contents
182,https://en.wikipedia.org/wiki/Data_storage,Contents
183,https://en.wikipedia.org/wiki/Data_validation,Contents
184,https://en.wikipedia.org/wiki/Data_warehouse,Contents
185,https://en.wikipedia.org/wiki/Data_wrangling,Contents
186,https://en.wikipedia.org/wiki/Help:Category,Contents
187,https://en.wikipedia.org/wiki/Category:Information_science,Contents
188,https://en.wikipedia.org/wiki/Category:Computer_occupations,Subcategories
189,https://en.wikipedia.org/wiki/Category:Computational_fields_of_study,Contents 
190,https://en.wikipedia.org/wiki/Category:Data_analysis,Subcategories
191,https://en.wikipedia.org/wiki/Category:Articles_with_short_description,Subcategories
192,https://en.wikipedia.org/wiki/Category:Short_description_is_different_from_Wikidata,"Pages in category ""Short description is different from Wikidata"""
193,https://en.wikipedia.org/wiki/Category:Use_dmy_dates_from_August_2021,"Pages in category ""Use dmy dates from August 2021"""
194,https://en.wikipedia.org/wiki/Wikipedia:About,
195,https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer,No formal peer review
